Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\happy_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\sad_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
I get very angry and often lose my temper,a20a,121.9033591,-,2,[807.0],[864.0],0.494423792,0.500619579,0.004956629,0.234953704,0.756944444,0.008101852
Other children or young people pick on me,a20q,112.9574112,-,2,[800.0],[852.0],0.6375,0.35625,0.00625,0.377934272,0.600938967,0.021126761
Other children are treated better than me,a21a,94.58605056,-,2,[788.0],[837.0],0.449238579,0.535532995,0.015228426,0.222222222,0.751493429,0.026284349
I am often accused of lying or cheating,a20d,89.28311723,-,2,[806.0],[863.0],0.82382134,0.171215881,0.004962779,0.615295481,0.370799537,0.013904983
I get on better with adults than with people my own age,a20t,89.1685866,-,2,[791.0],[845.0],0.575221239,0.419721871,0.00505689,0.344378698,0.640236686,0.015384615
Other people my age generally like me,a20p,78.06237989,-,2,[794.0],[850.0],0.356423174,0.632241814,0.011335013,0.165882353,0.816470588,0.017647059
I take things that are not mine from home; school or elsewhere,a20e,77.87648442,-,2,[807.0],[855.0],0.936802974,0.055762082,0.007434944,0.789473684,0.201169591,0.009356725
I think before I do things,a20o,71.02196548,-,2,[802.0],[860.0],0.213216958,0.780548628,0.006234414,0.072093023,0.911627907,0.01627907
I try to be nice to other people. I care about their feelings,a20v,69.87159589,-,2,[793.0],[849.0],0.255989912,0.740226986,0.003783102,0.101295642,0.886925795,0.011778563
In the PAST YEAR; have you EVER treated someone else in a hurtful or nasty way?,f24,65.0623833,-,2,[780.0],[844.0],0.897435897,0.08974359,0.012820513,0.742890995,0.218009479,0.039099526
I fight a lot; I can make other people do what I want,a20c,60.99331733,-,2,[808.0],[867.0],0.861386139,0.132425743,0.006188119,0.703575548,0.287197232,0.00922722
I do exciting things; even if they are dangerous,a24b,60.53231162,-,2,[777.0],[837.0],0.851994852,0.141570142,0.006435006,0.689366786,0.289127838,0.021505376
I feel I have to check my device (e.g. phone or computer) to see if anything new has just happened,f45f,60.33046074,-,2,[752.0],[813.0],0.732712766,0.260638298,0.006648936,0.544895449,0.436654367,0.018450185
I do dangerous things for fun,a24a,59.97195234,-,2,[778.0],[835.0],0.875321337,0.120822622,0.003856041,0.725748503,0.245508982,0.028742515
Ways of courtship,f41g,59.45507502,-,2,[760.0],[809.0],0.790789474,0.198684211,0.010526316,0.613102596,0.359703337,0.027194067
I know how to use incognito in browsing,e1k1,54.50590434,-,2,[743.0],[819.0],0.865410498,0.122476447,0.012113055,0.711843712,0.258852259,0.029304029
In the PAST YEAR; has anyone ever treated you in a hurtful or nasty way?,f18,53.08768888,-,2,[788.0],[847.0],0.819796954,0.162436548,0.017766497,0.661157025,0.304604486,0.034238489
Ad blocking software,i7i,52.66908505,-,2,[663.0],[733.0],0.87933635,0.082956259,0.037707391,0.723055935,0.195088677,0.081855389
I can solve difficult problems if I try hard enough,a26a,50.92748025,-,2,[768.0],[819.0],0.404947917,0.578125,0.016927083,0.242979243,0.747252747,0.00976801
I often volunteer to help others (e.g.; parents; carers; teachers; children),a20w,50.86893144,-,2,[787.0],[849.0],0.261753494,0.733163914,0.005082592,0.130742049,0.848056537,0.021201413
I know how to safeguard my online expenses while using mobile apps,e1w,49.4979679,-,2,[727.0],[810.0],0.555708391,0.433287483,0.011004127,0.37654321,0.607407407,0.016049383
I have been asked to talk about sexual acts with someone on the internet when I did not want to,g2b,49.41367821,-,2,[747.0],[797.0],0.921017403,0.064257028,0.014725569,0.795483061,0.163111669,0.04140527
Somebody used my personal information in a way I didn't like,f43a,48.4476633,-,2,[757.0],[816.0],0.912813738,0.073976222,0.01321004,0.786764706,0.175245098,0.037990196
I know how to hide my IP address,e1f2,47.79360013,-,2,[752.0],[826.0],0.844414894,0.142287234,0.013297872,0.697336562,0.279661017,0.023002421
I usually share with others (food; games; pens etc.),a20x,47.40804993,-,2,[794.0],[848.0],0.197732997,0.799748111,0.002518892,0.08490566,0.903301887,0.011792453
I have at least one good friend,a20s,47.00475543,-,2,[807.0],[860.0],0.159851301,0.836431227,0.003717472,0.059302326,0.927906977,0.012790698
Been in trouble with the police,a25e,46.87556607,-,2,[779.0],[822.0],0.979460847,0.016688062,0.003851091,0.896593674,0.072992701,0.030413625
Have you suggested to your friends ways to use the internet safely?,k3,46.3381474,-,2,[761.0],[824.0],0.55978975,0.433639947,0.006570302,0.393203883,0.587378641,0.019417476
If someone opposes me; I can find ways to get what I want,a26b,45.78035243,-,2,[746.0],[800.0],0.516085791,0.470509383,0.013404826,0.34625,0.63125,0.0225
I have been asked on the internet for a photo or video showing my private parts [translate as appropriate] when I did not want to,g2d,44.99517795,-,2,[746.0],[807.0],0.955764075,0.032171582,0.012064343,0.856257745,0.116480793,0.027261462
I talk about different things online than I do when speaking to people face-to-face,d2e,44.99176765,-,2,[614.0],[698.0],0.589576547,0.384364821,0.026058632,0.405444126,0.565902579,0.028653295
In the PAST YEAR; has anything EVER happened online that bothered or upset you in some way? (e.g.; made you feel uncomfortable; scared or that you shouldn’t have seen it)?,f11,44.10927821,-,2,[753.0],[821.0],0.87250996,0.112881806,0.014608234,0.739342266,0.227771011,0.032886724
I know how to edit or make basic changes to online content that others have created,e1r,43.8197319,-,2,[732.0],[809.0],0.744535519,0.24863388,0.006830601,0.587144623,0.393077874,0.019777503
I am helpful if someone is hurt; upset or feeling ill,a20u,43.1427945,-,2,[798.0],[853.0],0.275689223,0.715538847,0.00877193,0.145369285,0.839390387,0.015240328
I have tried unsuccessfully to spend less time on the internet,f45d,43.05032223,-,2,[755.0],[825.0],0.78013245,0.206622517,0.013245033,0.629090909,0.351515152,0.019393939
In the PAST YEAR; have you sent or posted any sexual messages at least once? This could be words; pictures or videosabout you or someone else.,f38,41.77899916,-,2,[760.0],[818.0],0.963157895,0.031578947,0.005263158,0.87408313,0.096577017,0.029339853
Encouraged me to explore and learn things on the internet,k2b,40.91829346,-,2,[760.0],[834.0],0.557894737,0.435526316,0.006578947,0.399280576,0.586330935,0.014388489
I think the amount of time I spend on the internet causes problems for me,f45e,40.91328088,-,2,[756.0],[816.0],0.775132275,0.207671958,0.017195767,0.634803922,0.352941176,0.012254902
I know how to design a website,e1u,39.98491729,-,2,[728.0],[808.0],0.833791209,0.15521978,0.010989011,0.696782178,0.277227723,0.025990099
Post my new stuff and clothes,f1g,38.88568291,-,2,[755.0],[825.0],0.943046358,0.049006623,0.00794702,0.847272727,0.140606061,0.012121212
When you were treated this way; how often did it happen on the internet?,a23,38.70348134,-,2,[482.0],[726.0],0.838174274,0.153526971,0.008298755,0.679063361,0.297520661,0.023415978
I know how to create something new from video or music that I found online,e1t,38.36977375,-,2,[751.0],[831.0],0.732356858,0.259653795,0.007989348,0.584837545,0.398315283,0.016847172
I get worried when I �?nd out my friends are having fun without me ,k1d,38.1344391,-,2,[769.0],[831.0],0.4473342,0.539661899,0.013003901,0.29843562,0.682310469,0.019253911
Someone found out where I was because they tracked my phone or device,f43h,38.12908725,-,2,[740.0],[808.0],0.974324324,0.021621622,0.004054054,0.896039604,0.089108911,0.014851485
I know which different types of licences apply to online content,e1s,38.0218479,-,2,[722.0],[804.0],0.793628809,0.191135734,0.015235457,0.651741294,0.325870647,0.02238806
Software to prevent spam or junk mail/viruses,i7e,37.79678115,-,2,[663.0],[744.0],0.793363499,0.167420814,0.039215686,0.64516129,0.288978495,0.065860215
Engage in chat activities with a person whom I only met on internet,f1j,37.34834205,-,2,[755.0],[823.0],0.892715232,0.100662252,0.006622517,0.778857837,0.212636695,0.008505468
I know how to use a programming language (e.g. HTML; XML; etc.),e1c,37.31375493,-,2,[743.0],[819.0],0.811574697,0.173620458,0.014804845,0.676434676,0.302808303,0.020757021
I was sent a message that I did not want with advertisements for or links to X-rated websites [use local term for 'X-rated'],g1a,37.30162564,-,2,[756.0],[809.0],0.912698413,0.072751323,0.014550265,0.804697157,0.166872682,0.028430161
Parental controls or other means of blocking or filtering some types of website,i7a,37.24499776,-,2,[670.0],[738.0],0.853731343,0.102985075,0.043283582,0.720867209,0.182926829,0.096205962
I know how to hack certain files,e1f4,36.698484,-,2,[748.0],[824.0],0.886363636,0.10026738,0.013368984,0.77184466,0.209951456,0.018203883
In the PAST YEAR; have you received any sexual messages (this could be words; pictures or videos) at least once?,f34,36.60767124,-,2,[760.0],[825.0],0.877631579,0.105263158,0.017105263,0.76,0.20969697,0.03030303
I have been asked by someone on the internet to do something sexual when I did not want to,g2c,36.42728572,-,2,[750.0],[802.0],0.942666667,0.048,0.009333333,0.849127182,0.117206983,0.033665835
I know how to download and carck to full version some paid apps without paying a fee (e.g. torrent; etc.),e1x1,35.88548087,-,2,[721.0],[798.0],0.807212205,0.181692094,0.0110957,0.671679198,0.307017544,0.021303258
Had sexual intercourse,a25c,35.57042745,-,2,[762.0],[820.0],0.946194226,0.038057743,0.015748031,0.856097561,0.106097561,0.037804878
I finish the work I'm doing. My attention is good,a20l,35.51700638,-,2,[795.0],[856.0],0.274213836,0.719496855,0.006289308,0.155373832,0.832943925,0.011682243
Does shared activities together with me on the internet,i4f,35.42499165,-,2,[765.0],[824.0],0.641830065,0.350326797,0.007843137,0.497572816,0.481796117,0.020631068
I know how to set the firewall,e1f5,34.44833153,-,2,[735.0],[821.0],0.893877551,0.089795918,0.016326531,0.785627284,0.192448234,0.021924482
I find it easier to be myself online than when I am with people face-to-face,d2d,34.4091075,-,2,[615.0],[702.0],0.577235772,0.393495935,0.029268293,0.418803419,0.554131054,0.027065527
Which websites I visited,i8d,34.23184473,-,2,[720.0],[782.0],0.801388889,0.184722222,0.013888889,0.667519182,0.308184143,0.024296675
Pretended to be a different kind of person online from who I really am,f1d,34.10007444,-,2,[753.0],[819.0],0.95750332,0.037184595,0.005312085,0.875457875,0.103785104,0.020757021
In the PAST YEAR; have you EVER SEEN any sexual images?,f28,33.2523938,-,2,[766.0],[825.0],0.749347258,0.232375979,0.018276762,0.615757576,0.347878788,0.036363636
Hate messages that attack certain groups or individuals (e.g.; people of different colour or religion or nationality),f41d,33.08240602,-,2,[750.0],[804.0],0.910666667,0.08,0.009333333,0.809701493,0.162935323,0.027363184
I got involved online in a local organisation or charity,c4f,33.01010787,-,2,[756.0],[823.0],0.958994709,0.033068783,0.007936508,0.879708384,0.102065614,0.018226002
I looked for the news online,c4h,32.77753137,-,2,[781.0],[843.0],0.814340589,0.181818182,0.003841229,0.691577699,0.300118624,0.008303677
WeChat,d14d,31.96534486,-,2,[525.0],[595.0],0.954285714,0.034285714,0.011428571,0.853781513,0.097478992,0.048739496
Post messages or love quotes that pertain to the boy/girl whom I have a crush on,f1h,31.79556116,-,2,[757.0],[826.0],0.922060766,0.07001321,0.007926024,0.828087167,0.148910412,0.023002421
Sometimes I end up on websites without knowing how I got there,e1k,31.66639429,-,2,[767.0],[834.0],0.595827901,0.391134289,0.01303781,0.456834532,0.53117506,0.011990408
I know how to jailbreak; crack games and apps; change IP address,e1f1,31.62737526,-,2,[741.0],[816.0],0.83265857,0.152496626,0.014844804,0.714460784,0.268382353,0.017156863
Have the same documents; contacts or apps on all devices that I use (e.g. smartphone; tablet; PC),e3d,31.53572389,-,2,[546.0],[671.0],0.754578755,0.230769231,0.014652015,0.60804769,0.350223547,0.041728763
The device (e.g.; phone; tablet; computer) I use got a virus or spyware,f43b,31.14298732,-,2,[752.0],[822.0],0.843085106,0.150265957,0.006648936,0.731143552,0.245742092,0.023114355
I know how to make an in-app purchase,e1x,31.01092901,-,2,[732.0],[805.0],0.743169399,0.245901639,0.010928962,0.609937888,0.371428571,0.01863354
In the PAST YEAR; have you at least once met anyone face to face that you first got to know on the internet?,f3,30.68251926,-,2,[766.0],[830.0],0.896866841,0.087467363,0.015665796,0.796385542,0.174698795,0.028915663
Someone I first met on the internet; but who is friends or family of other people I know in person,c6f,29.61661755,-,2,[749.0],[831.0],0.898531375,0.094793057,0.006675567,0.800240674,0.190132371,0.009626955
Viber,d14c,29.40076743,-,2,[524.0],[599.0],0.940839695,0.041984733,0.017175573,0.838063439,0.121869783,0.040066778
I looked for information about the place I want to go visit/eat,c4c2,29.21057291,-,2,[768.0],[845.0],0.87109375,0.123697917,0.005208333,0.766863905,0.222485207,0.010650888
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,29.09542055,-,2,[787.0],[842.0],0.646759848,0.34815756,0.005082592,0.516627078,0.471496437,0.011876485
Parental controls that filter the apps I can download,i7f,28.51265856,-,2,[664.0],[740.0],0.807228916,0.162650602,0.030120482,0.682432432,0.271621622,0.045945946
Have you EVER had contact on the internet with someone you have not met face-to-face before?,f2,28.3753672,-,2,[483.0],[651.0],0.788819876,0.19047619,0.020703934,0.646697389,0.301075269,0.052227343
I created a blog or story or website online,c4n,28.09517246,-,2,[762.0],[826.0],0.972440945,0.020997375,0.00656168,0.909200969,0.073849879,0.016949153
Helped my parent/carer to do something they found difficult on the internet,i5b,28.03975345,-,2,[754.0],[813.0],0.584880637,0.403183024,0.01193634,0.451414514,0.530135301,0.018450185
Ways of physically harming or hurting themselves,f41a,27.7944816,-,2,[756.0],[813.0],0.892857143,0.097883598,0.009259259,0.79704797,0.178351784,0.024600246
I lost money by being cheated on the internet,f43c,27.38594482,-,2,[754.0],[818.0],0.952254642,0.041114058,0.0066313,0.878973105,0.096577017,0.024449878
The messages in my email or other app for communicating with people,i8b,27.20210908,-,2,[703.0],[766.0],0.775248933,0.204836415,0.019914651,0.65535248,0.325065274,0.019582245
Instagram,d14e,26.99838618,-,2,[527.0],[607.0],0.789373814,0.168880455,0.041745731,0.662273476,0.232289951,0.105436573
Helps me when something is difficult to do or find on the internet,i4h,26.89478706,-,2,[761.0],[815.0],0.612352168,0.373193167,0.014454665,0.482208589,0.499386503,0.018404908
It's easy for me to stick to my aims and achieve my goals,a26c,26.83531207,-,2,[757.0],[809.0],0.306472919,0.676354029,0.017173052,0.194066749,0.781211372,0.024721879
Sits with me while I use the internet,i4d,26.81337391,-,2,[770.0],[819.0],0.631168831,0.35974026,0.009090909,0.503052503,0.481074481,0.015873016
Your school,d9e,26.76549244,-,2,[597.0],[688.0],0.412060302,0.541038526,0.046901173,0.293604651,0.680232558,0.026162791
Their experiences of taking drugs,f41e,26.67226617,-,2,[757.0],[811.0],0.903566711,0.089828269,0.00660502,0.828606658,0.131935882,0.03945746
I find it easy to choose the best keywords for online searches,e1h,26.53979107,-,2,[764.0],[827.0],0.582460733,0.410994764,0.006544503,0.453446191,0.53929867,0.007255139
Skype,d14b,26.49809285,-,2,[532.0],[610.0],0.879699248,0.088345865,0.031954887,0.762295082,0.183606557,0.054098361
Another adult I trust,c7e,26.17617877,-,2,[742.0],[823.0],0.874663073,0.121293801,0.004043127,0.77764277,0.208991495,0.013365735
My grades have dropped because of the time I spent on the internet,f45c,26.16682829,-,2,[767.0],[829.0],0.865710561,0.127770535,0.006518905,0.765983112,0.223160434,0.010856454
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c6g,25.8767137,-,2,[747.0],[825.0],0.934404284,0.057563588,0.008032129,0.856969697,0.133333333,0.00969697
I usually do as I am told,a20b,25.83427249,-,2,[808.0],[868.0],0.142326733,0.851485149,0.006188119,0.066820276,0.927419355,0.005760369
I talk about private things online which I do not talk about with people face-to-face,d2f,25.83371072,-,2,[615.0],[693.0],0.697560976,0.284552846,0.017886179,0.561327561,0.414141414,0.024531025
Someone I first met on the internet; but who is friends or family of other people I know in person,c7f,25.3105232,-,2,[739.0],[817.0],0.905277402,0.089309878,0.00541272,0.816401469,0.171358629,0.012239902
Post my current location and those I had been to,f1f,25.125607,-,2,[745.0],[820.0],0.932885906,0.056375839,0.010738255,0.854878049,0.12804878,0.017073171
A teacher,c9d,25.05842459,-,2,[467.0],[518.0],0.931477516,0.059957173,0.00856531,0.826254826,0.152509653,0.021235521
I have seen or received a sexual message; image or video about someone else that I did not want,g1c,24.85551338,-,2,[757.0],[805.0],0.856010568,0.1334214,0.010568032,0.756521739,0.221118012,0.022360248
Somebody used my password to access my information or to pretend to be me,f43d,24.84886627,-,2,[753.0],[817.0],0.916334661,0.077025232,0.006640106,0.833537332,0.146878825,0.019583843
I was asked to make an in-app purchase when playing an online game (e.g.; to do well in the game),f43g,24.75993086,-,2,[463.0],[521.0],0.92224622,0.073434125,0.004319654,0.815738964,0.163147793,0.021113244
Software that limits the people I can be in touch with (through voice calls and SMS/TEXT MMS),i7h,24.67324433,-,2,[667.0],[727.0],0.770614693,0.197901049,0.031484258,0.650618982,0.309491059,0.039889959
Ways to be very thin (such as being anorexic or bulimic),f41c,24.64160119,-,2,[748.0],[805.0],0.906417112,0.081550802,0.012032086,0.819875776,0.151552795,0.028571429
Talked to me about what I do on the internet,j5e,24.61828721,-,2,[715.0],[799.0],0.685314685,0.307692308,0.006993007,0.568210263,0.410513141,0.021276596
I have been asked for sexual information about myself (like what my body looks like without clothes on or sexual things I have done) when I did not want to answer such questions,g2a,24.35866401,-,2,[737.0],[784.0],0.933514247,0.056987788,0.009497965,0.857142857,0.112244898,0.030612245
A teacher,c7d,24.33900829,-,2,[747.0],[825.0],0.912985274,0.081659973,0.005354752,0.829090909,0.162424242,0.008484848
I have experienced conflicts with family or friends because of the time I spent on the internet,f45b,24.22480144,-,2,[763.0],[825.0],0.799475754,0.195281782,0.005242464,0.693333333,0.293333333,0.013333333
A teacher,c6d,24.10702414,-,2,[762.0],[842.0],0.914698163,0.077427822,0.007874016,0.837292162,0.156769596,0.005938242
I can stay calm when things get difficult because I am good at coping,a26g,24.10255416,-,2,[760.0],[822.0],0.286842105,0.692105263,0.021052632,0.183698297,0.798053528,0.018248175
Compare similar apps to choose the one that is most reliable,e3i,24.04291034,-,2,[558.0],[676.0],0.551971326,0.437275986,0.010752688,0.424556213,0.541420118,0.034023669
I know how to report abusive posts or things that I find offending in social media (e.g. Facebook report abuse),e1p1,23.98271874,-,2,[605.0],[686.0],0.604958678,0.38677686,0.008264463,0.469387755,0.516034985,0.014577259
Parental controls that alert my parent/carer when I want to buy content (in-app purchase),i7g,23.88084288,-,2,[667.0],[736.0],0.83958021,0.131934033,0.028485757,0.732336957,0.214673913,0.05298913
Your phone number,d9d,23.79945927,-,2,[597.0],[683.0],0.641541039,0.306532663,0.051926298,0.543191801,0.43045388,0.026354319
I know how to set network settings (LAN; wi-fi; device-connection),e1f3,23.60143883,-,2,[738.0],[825.0],0.639566396,0.349593496,0.010840108,0.518787879,0.47030303,0.010909091
I discussed political or social problems with other people online,c4i,23.49233337,-,2,[758.0],[825.0],0.936675462,0.05408971,0.009234828,0.863030303,0.118787879,0.018181818
Gory or violent images,f41f,23.45626936,-,2,[760.0],[804.0],0.823684211,0.167105263,0.009210526,0.721393035,0.259950249,0.018656716
I use a postpaid plan (i.e.; with contracts),b9a,23.38633078,-,2,[785.0],[845.0],0.864968153,0.127388535,0.007643312,0.80591716,0.150295858,0.043786982
Twitter,d14f,22.91533517,-,2,[523.0],[603.0],0.835564054,0.135755258,0.028680688,0.733001658,0.180762852,0.086235489
About cheating,f41l,22.75250516,-,2,[761.0],[807.0],0.894875164,0.097240473,0.007884363,0.811648079,0.164807931,0.02354399
Thinking of the profile you use most often; about how many people are you in contact with when using [named profile]?,d7a,22.74046321,+,14,[571.0],[672.0],0.066549912,0.124343257,0.80910683,0.084821429,0.099702381,0.81547619
I commented on the updates that friends or family have put online,c4u,22.6595197,-,2,[767.0],[833.0],0.728813559,0.263363755,0.007822686,0.618247299,0.37454982,0.007202881
YouTube/Hangout (Google),d14g,22.49192711,-,2,[552.0],[628.0],0.677536232,0.277173913,0.045289855,0.560509554,0.337579618,0.101910828
When I use the internet; I feel I want to achieve more in life.,a29b,22.46488739,-,2,[756.0],[833.0],0.457671958,0.523809524,0.018518519,0.345738295,0.641056423,0.013205282
Helped me when I found something difficult to do on the internet,k2c,22.2209551,-,2,[752.0],[824.0],0.606382979,0.382978723,0.010638298,0.48907767,0.492718447,0.018203883
About smoking,f41o,22.19882832,-,2,[757.0],[809.0],0.908850727,0.084544254,0.00660502,0.828182942,0.156983931,0.014833127
Explained why some websites are good or bad,k2d,21.96916095,-,2,[755.0],[812.0],0.630463576,0.357615894,0.01192053,0.513546798,0.467980296,0.018472906
Places you've dined and visited,d9j,21.93142916,-,2,[586.0],[679.0],0.69112628,0.259385666,0.049488055,0.572901325,0.382916053,0.044182622
Started a discussion with my parent/carer about what I do on the internet,i5c,21.91486312,-,2,[762.0],[818.0],0.55511811,0.435695538,0.009186352,0.451100244,0.520782396,0.028117359
Made rules about what I can do on the internet at school,j5c,21.73591418,-,2,[715.0],[804.0],0.604195804,0.39020979,0.005594406,0.493781095,0.487562189,0.018656716
Suggested ways to behave towards other people on the internet,k2e,21.64650848,-,2,[756.0],[818.0],0.625661376,0.35978836,0.014550265,0.513447433,0.475550122,0.011002445
Someone else,c7h,21.42431988,-,2,[738.0],[816.0],0.924119241,0.069105691,0.006775068,0.849264706,0.139705882,0.011029412
I used the internet to talk to people from places or backgrounds different from mine,c4e,21.24496185,-,2,[769.0],[836.0],0.864759428,0.128738622,0.006501951,0.776315789,0.210526316,0.013157895
Do video calls with a person whom I only met on internet,f1k,21.13697823,-,2,[752.0],[814.0],0.946808511,0.045212766,0.007978723,0.882063882,0.105651106,0.012285012
Seek to get acquainted or befriend persons who are Non-Filipinos (foreigners),f1i,20.98159132,-,2,[753.0],[824.0],0.961487384,0.03187251,0.006640106,0.902912621,0.080097087,0.016990291
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c7g,20.85490238,-,2,[741.0],[813.0],0.928475034,0.067476383,0.004048583,0.857318573,0.129151292,0.013530135
Met personally with someone whom I met online (i.e.; eyeball),a25f,20.82130201,-,2,[769.0],[820.0],0.927178153,0.067620286,0.00520156,0.856097561,0.136585366,0.007317073
I used the internet to help somebody else,c4g,20.75201373,-,2,[769.0],[834.0],0.869960988,0.126137841,0.00390117,0.784172662,0.206235012,0.009592326
Somebody created a page or image about me that was hostile or hurtful,f43e,20.71646593,-,2,[752.0],[815.0],0.969414894,0.025265957,0.005319149,0.915337423,0.071165644,0.013496933
I helped someone else who needed or wanted to go online,c4t,20.60086398,-,2,[763.0],[838.0],0.857142857,0.137614679,0.005242464,0.76849642,0.220763723,0.010739857
About bullying,f41p,20.51751056,-,2,[759.0],[814.0],0.795783926,0.197628458,0.006587615,0.701474201,0.278869779,0.01965602
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,20.46303569,-,2,[761.0],[833.0],0.809461235,0.185282523,0.005256242,0.713085234,0.276110444,0.010804322
Suggested ways to use the internet safely,k2a,20.45073335,-,2,[764.0],[831.0],0.520942408,0.468586387,0.010471204,0.407942238,0.578820698,0.013237064
My mother or father (or step/foster mother or father),c9a,20.3994494,-,2,[465.0],[516.0],0.890322581,0.101075269,0.008602151,0.782945736,0.197674419,0.019379845
Parental controls or other means of keeping track of the websites or apps I visit,i7b,20.39288175,-,2,[672.0],[738.0],0.819940476,0.139880952,0.040178571,0.718157182,0.216802168,0.06504065
I looked for health information for myself or someone I know,c4ee,20.2881683,-,2,[765.0],[834.0],0.858823529,0.133333333,0.007843137,0.772182254,0.21942446,0.008393285
Told my parent/carer about things that bother or upset me on the internet,i5a,20.10488877,-,2,[746.0],[801.0],0.612600536,0.372654155,0.014745308,0.503121099,0.468164794,0.028714107
I know how to change who I share content with (e.g. friends; friends of friends or everyone),e1p,19.750417,-,2,[609.0],[691.0],0.476190476,0.518883415,0.004926108,0.358900145,0.628075253,0.013024602
Missed school lessons without my parent(s)/carer(s) knowing,a25b,19.7457694,-,2,[782.0],[839.0],0.898976982,0.093350384,0.007672634,0.825983313,0.150178784,0.023837902
Added people to my friends or contacts I have never met face-to-face,f1c,19.64759107,-,2,[759.0],[824.0],0.872200264,0.121212121,0.006587615,0.788834951,0.196601942,0.014563107
Helped me when I found something difficult to do or find on the internet,j5d,19.56262052,-,2,[718.0],[788.0],0.636490251,0.356545961,0.006963788,0.526649746,0.458121827,0.015228426
I can talk about my problems with my friends,k1c,19.3697116,-,2,[783.0],[843.0],0.24137931,0.747126437,0.011494253,0.15539739,0.835112693,0.009489917
Another adult I trust,c6e,19.35917328,-,2,[756.0],[840.0],0.854497354,0.14021164,0.005291005,0.767857143,0.222619048,0.00952381
I created my own video or music and uploaded it to share,c4m,19.35299727,-,2,[767.0],[841.0],0.929595828,0.065189048,0.005215124,0.862068966,0.127229489,0.010701546
I posted videos or music created by someone else,c4o,19.34381126,-,2,[773.0],[843.0],0.913324709,0.080206986,0.006468305,0.841043891,0.147093713,0.011862396
Suggested ways to behave towards other people online,j5g,19.33228668,-,2,[719.0],[797.0],0.541029207,0.450625869,0.008344924,0.43412798,0.545796738,0.020075282
My profile on a social networking site or online community,i8c,19.17696208,-,2,[590.0],[671.0],0.611864407,0.36440678,0.023728814,0.488822653,0.479880775,0.031296572
Checked maps,c4c1,19.1304002,-,2,[768.0],[842.0],0.889322917,0.102864583,0.0078125,0.811163895,0.17695962,0.011876485
I browsed for things to buy,c4hh,18.89421687,-,2,[765.0],[825.0],0.909803922,0.083660131,0.006535948,0.837575758,0.153939394,0.008484848
Birthdate,a2,18.7755242,-,2,[814.0],[877.0],0.356265356,0.345208845,0.298525799,0.2668187,0.355758267,0.377423033
Block push notifications from different apps,e3c,18.7351214,-,2,[557.0],[681.0],0.692998205,0.296229803,0.010771993,0.575624082,0.402349486,0.022026432
