Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\12to14_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\15to17_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b7b,,,2,[632.0],[617.0],0.549050633,0.444620253,0.006329114,0.413290113,0.58184765,0.004862237
A desktop computer,b7c,,,2,[633.0],[623.0],0.696682464,0.298578199,0.004739336,0.664526485,0.325842697,0.009630819
A laptop or notebook computer,b7d,1.951486402,-,2,[633.0],[620.0],0.799368088,0.192733017,0.007898894,0.783870968,0.2,0.016129032
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b7e,,,2,[632.0],[617.0],0.787974684,0.205696203,0.006329114,0.77471637,0.218800648,0.006482982
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b7f,0.354281681,+,2,[630.0],[607.0],0.850793651,0.133333333,0.015873016,0.861614498,0.125205931,0.013179572
A mobile phone that is not a smartphone,b8a,,,2,[146.0],[194.0],0.410958904,0.554794521,0.034246575,0.324742268,0.664948454,0.010309278
A smartphone [iPhone; Samsung Galaxy; Cherry Mobile; Star Mobile; etc],b8b,,,2,[286.0],[355.0],0.283216783,0.706293706,0.01048951,0.194366197,0.8,0.005633803
A desktop computer,b8c,,,2,[196.0],[202.0],0.755102041,0.229591837,0.015306122,0.648514851,0.336633663,0.014851485
A laptop or notebook computer,b8d,,,2,[125.0],[123.0],0.592,0.408,0,0.520325203,0.447154472,0.032520325
A tablet [iPad; Samsung Galaxy tab; PLDT Home tablet; etc],b8e,,,2,[134.0],[133.0],0.485074627,0.507462687,0.007462687,0.473684211,0.518796992,0.007518797
A games console [Playstation; Xbox; PSP; Nintendo; 3DS; etc],b8f,,,2,[87.0],[75.0],0.620689655,0.379310345,0,0.64,0.306666667,0.053333333
I use a postpaid plan (i.e.; with contracts),b9a,5.512969943,-,2,[626.0],[615.0],0.841853035,0.142172524,0.015974441,0.803252033,0.162601626,0.034146341
I use freeWIFI (at home; in school; coffee shop or cafés; malls; etc.),b9b,15.20688447,-,2,[632.0],[622.0],0.539556962,0.44778481,0.012658228,0.432475884,0.557877814,0.009646302
I pay for internet I use (e.g. in a cybercafé or internet cafe; PisoNet),b9c,0.362150589,-,2,[634.0],[618.0],0.46214511,0.522082019,0.015772871,0.446601942,0.538834951,0.014563107
I use prepaid offers (e.g. GOSurf; GIGASurf; etc.),b9d,18.55287633,-,2,[629.0],[619.0],0.556438792,0.429252782,0.014308426,0.436187399,0.55088853,0.012924071
Do you connect to the internet by yourself?,b10a,13.91232152,-,1,[642.0],[626.0],0.400311526,0.599688474,0,0.300319489,0.699680511,0
My parents,b10b1,6.629529501,+,1,[247.0],[179.0],0.773279352,0.226720648,0,0.87150838,0.12849162,0
My siblings,b10b2,0.031780409,+,1,[248.0],[179.0],0.673387097,0.326612903,0,0.681564246,0.318435754,0
Relatives,b10b3,0.049534278,-,1,[247.0],[179.0],0.862348178,0.137651822,0,0.854748603,0.145251397,0
Friends who are the same age as I am,b10c1,17.73747222,-,1,[247.0],[179.0],0.603238866,0.396761134,0,0.396648045,0.603351955,0
Friends who are older than me,b10c2,0.118249877,-,1,[247.0],[179.0],0.850202429,0.149797571,0,0.837988827,0.162011173,0
My teacher,b10d,0.137860368,-,1,[247.0],[179.0],0.967611336,0.032388664,0,0.960893855,0.039106145,0
Others,b10e,0.49009478,-,1,[247.0],[179.0],0.91902834,0.08097166,0,0.899441341,0.100558659,0
Do you usually have a good time or fun when you go online?,c1,,,3,[642.0],[630.0],0.898753894,0.096573209,0.004672897,0.914285714,0.080952381,0.004761905
What do you think about this sentence: ‘There are lots of things on the internet that are good for children of my age’?,c2,16.40609517,-,2,[634.0],[616.0],0.164037855,0.818611987,0.017350158,0.089285714,0.88474026,0.025974026
I learned something new by searching online,c4a,,,2,[621.0],[616.0],0.531400966,0.466988728,0.001610306,0.532467532,0.459415584,0.008116883
I used the internet for schoolwork,c4c,,,2,[626.0],[619.0],0.49201278,0.503194888,0.004792332,0.444264943,0.555735057,0
I looked for information about work or study opportunities,c4b,12.48547427,-,2,[610.0],[611.0],0.786885246,0.203278689,0.009836066,0.698854337,0.284779051,0.016366612
Checked maps,c4c1,1.606072062,-,2,[618.0],[612.0],0.844660194,0.142394822,0.012944984,0.820261438,0.168300654,0.011437908
I looked for information about the place I want to go visit/eat,c4c2,9.770460269,-,2,[620.0],[610.0],0.817741935,0.174193548,0.008064516,0.744262295,0.245901639,0.009836066
I looked for resources or events about my local neighbourhood,c4d,8.843792674,-,2,[604.0],[605.0],0.897350993,0.084437086,0.018211921,0.841322314,0.137190083,0.021487603
I got involved online in a local organisation or charity,c4f,0.507679028,-,2,[605.0],[600.0],0.900826446,0.080991736,0.018181818,0.901666667,0.085,0.013333333
I used the internet to help somebody else,c4g,4.481261217,-,2,[613.0],[610.0],0.823817292,0.16639478,0.009787928,0.775409836,0.21147541,0.013114754
I used the internet to talk to people from places or backgrounds different from mine,c4e,11.01892104,-,2,[612.0],[610.0],0.823529412,0.171568627,0.004901961,0.750819672,0.23442623,0.014754098
I looked for the news online,c4h,,,2,[621.0],[616.0],0.776167472,0.21900161,0.004830918,0.62987013,0.36038961,0.00974026
I discussed political or social problems with other people online,c4i,11.04328452,-,2,[609.0],[608.0],0.903119869,0.08045977,0.016420361,0.847039474,0.139802632,0.013157895
I got involved online in a campaign or protest,c4j,0.068112009,-,2,[602.0],[604.0],0.936877076,0.044850498,0.018272425,0.933774834,0.048013245,0.018211921
I signed a petition online,c4k,0.281590337,+,2,[595.0],[593.0],0.956302521,0.031932773,0.011764706,0.954468803,0.030354132,0.015177066
I used the internet to join a civic; religious or political group,c4l,3.264915779,-,2,[604.0],[603.0],0.94205298,0.048013245,0.009933775,0.915422886,0.071310116,0.013266998
I posted videos or music created by someone else,c4o,4.612095276,-,2,[618.0],[616.0],0.883495146,0.108414239,0.008090615,0.842532468,0.149350649,0.008116883
I created my own video or music and uploaded it to share,c4m,,,2,[620.0],[610.0],0.893548387,0.098387097,0.008064516,0.857377049,0.136065574,0.006557377
I created a blog or story or website online,c4n,5.292968436,-,2,[610.0],[607.0],0.945901639,0.039344262,0.014754098,0.922570016,0.067545305,0.009884679
I created my own artwork; designs and illustrations and uploaded them on the internet,c4o1,4.748172841,-,2,[609.0],[603.0],0.917898194,0.068965517,0.013136289,0.900497512,0.094527363,0.004975124
I used instant messaging [insert local examples e.g. Viber; WhatsApp],c4r,6.312260044,-,2,[609.0],[603.0],0.825944171,0.165845649,0.008210181,0.771144279,0.212271973,0.016583748
I visited a social network site (e.g.; Facebook [add local examples]),c4p,,,2,[624.0],[615.0],0.448717949,0.543269231,0.008012821,0.365853659,0.630894309,0.003252033
I helped someone else who needed or wanted to go online,c4t,2.637838498,-,2,[615.0],[612.0],0.801626016,0.188617886,0.009756098,0.769607843,0.223856209,0.006535948
I talked to family or friends who live further away (e.g. by Skype; Viber; FaceTime),c4q,,,2,[617.0],[606.0],0.76012966,0.233387358,0.006482982,0.721122112,0.272277228,0.00660066
I commented on the updates that friends or family have put online,c4u,,,2,[614.0],[615.0],0.672638436,0.32247557,0.004885993,0.567479675,0.42601626,0.006504065
I re-posted or shared a social media post online,c4t1,21.12254745,-,2,[618.0],[609.0],0.754045307,0.231391586,0.014563107,0.65681445,0.339901478,0.003284072
I showed my friends or family something that I saw online,c4v,6.410227567,-,2,[617.0],[611.0],0.756888169,0.236628849,0.006482982,0.693944354,0.294599018,0.011456628
I visited a chatroom to meet new people [insert local examples],c4w,3.515557385,-,2,[610.0],[615.0],0.859016393,0.131147541,0.009836066,0.822764228,0.169105691,0.008130081
I watched video clips (e.g. on YouTube [insert local examples]),c4x,,,2,[625.0],[617.0],0.528,0.4688,0.0032,0.525121556,0.473257699,0.001620746
I played online games alone,c4y,,,2,[630.0],[616.0],0.619047619,0.376190476,0.004761905,0.712662338,0.285714286,0.001623377
I played games with other people online,c4z,,,2,[624.0],[611.0],0.71474359,0.275641026,0.009615385,0.800327332,0.196399345,0.003273322
I listened to music online (by downloading or streaming),c4bb,,,2,[626.0],[613.0],0.643769968,0.3514377,0.004792332,0.577487765,0.422512235,0
I watched my favourite TV shows,c4cc,,,2,[628.0],[614.0],0.503184713,0.493630573,0.003184713,0.495114007,0.503257329,0.001628664
I joined a fan site (of a celebrity or popular band),c4cc1,0.334219218,-,2,[610.0],[601.0],0.862295082,0.126229508,0.01147541,0.861896839,0.129783694,0.008319468
I posted photos or comments online (e.g. on Facebook or a blog),c4gg,,,2,[621.0],[616.0],0.647342995,0.342995169,0.009661836,0.568181818,0.430194805,0.001623377
I looked for health information for myself or someone I know,c4ee,11.51674054,-,2,[615.0],[608.0],0.829268293,0.16097561,0.009756098,0.753289474,0.238486842,0.008223684
I participated in a site where people share my interests or hobbies,c4ff,5.839827408,-,2,[606.0],[600.0],0.844884488,0.138613861,0.01650165,0.815,0.178333333,0.006666667
I browsed for things to buy,c4hh,8.441406036,-,2,[609.0],[607.0],0.871921182,0.116584565,0.011494253,0.820428336,0.172981878,0.006589786
I checked out what things cost by looking online,c4hh1,,,2,[602.0],[603.0],0.895348837,0.098006645,0.006644518,0.83747927,0.154228856,0.008291874
I have sold an item online,c4hh2,3.014051738,-,2,[605.0],[602.0],0.94214876,0.042975207,0.014876033,0.936877076,0.056478405,0.006644518
My mother or father (or step/foster mother or father),c6a,,,2,[614.0],[602.0],0.708469055,0.288273616,0.003257329,0.624584718,0.367109635,0.008305648
My brother or sister (or step/foster/half siblings),c6b,10.76041947,-,2,[607.0],[609.0],0.759472817,0.228995058,0.011532125,0.679802956,0.311986864,0.008210181
A friend around my age,c6c,,,2,[614.0],[614.0],0.656351792,0.338762215,0.004885993,0.522801303,0.472312704,0.004885993
A teacher,c6d,5.301634981,-,2,[606.0],[608.0],0.863036304,0.123762376,0.01320132,0.835526316,0.159539474,0.004934211
Another adult I trust,c6e,,,2,[608.0],[602.0],0.810855263,0.182565789,0.006578947,0.759136213,0.234219269,0.006644518
Someone I first met on the internet; but who is friends or family of other people I know in person,c6f,4.667297282,-,2,[597.0],[600.0],0.837520938,0.152428811,0.010050251,0.795,0.198333333,0.006666667
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c6g,,,2,[602.0],[593.0],0.890365449,0.098006645,0.011627907,0.848229342,0.148397976,0.003372681
A relative or friend who is an OFW (overseas Filipino worker),c6g1,2.814849028,-,2,[600.0],[599.0],0.806666667,0.181666667,0.011666667,0.772954925,0.21869783,0.008347245
Someone else,c6h,3.766230757,-,2,[605.0],[598.0],0.882644628,0.110743802,0.00661157,0.844481605,0.14548495,0.010033445
My mother or father (or step/foster mother or father),c7a,4.083321436,-,2,[605.0],[598.0],0.715702479,0.276033058,0.008264463,0.662207358,0.329431438,0.008361204
My brother or sister (or step/foster/half siblings),c7b,14.35655953,-,2,[603.0],[600.0],0.759535655,0.230514096,0.009950249,0.661666667,0.328333333,0.01
A friend around my age,c7c,,,2,[606.0],[604.0],0.641914191,0.348184818,0.00990099,0.501655629,0.493377483,0.004966887
A teacher,c7d,5.147890636,-,2,[603.0],[593.0],0.870646766,0.11774461,0.011608624,0.833052277,0.160202361,0.006745363
Another adult I trust,c7e,5.560624481,-,2,[604.0],[596.0],0.819536424,0.17218543,0.008278146,0.765100671,0.22147651,0.013422819
Someone I first met on the internet; but who is friends or family of other people I know in person,c7f,6.806494731,-,2,[601.0],[591.0],0.853577371,0.134775374,0.011647255,0.805414552,0.187817259,0.00676819
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c7g,13.02362164,-,2,[598.0],[588.0],0.89632107,0.090301003,0.013377926,0.836734694,0.156462585,0.006802721
A relative or friend who is an OFW (overseas Filipino worker),c7g1,5.660605376,-,2,[594.0],[589.0],0.833333333,0.14983165,0.016835017,0.796264856,0.19524618,0.008488964
Someone else,c7h,9.301676225,-,2,[595.0],[589.0],0.890756303,0.099159664,0.010084034,0.830220713,0.157894737,0.01188455
My mother or father (or step/foster mother or father),c8a,0.2562668,+,2,[514.0],[526.0],0.741245136,0.247081712,0.011673152,0.741444867,0.243346008,0.015209125
My brother or sister (or step/foster/half siblings),c8b,,,2,[513.0],[521.0],0.748538012,0.2417154,0.009746589,0.687140115,0.305182342,0.007677543
A friend around my age,c8c,,,2,[517.0],[527.0],0.539651838,0.454545455,0.005802708,0.436432638,0.557874763,0.0056926
A teacher,c8d,1.446331712,-,2,[512.0],[520.0],0.8515625,0.13671875,0.01171875,0.825,0.163461538,0.011538462
Another adult I trust,c8e,,,2,[508.0],[520.0],0.803149606,0.18503937,0.011811024,0.755769231,0.238461538,0.005769231
Someone I first met on the internet; but who is friends or family of other people I know in person,c8f,,,2,[510.0],[521.0],0.823529412,0.164705882,0.011764706,0.798464491,0.195777351,0.005758157
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c8g,2.204871759,-,2,[506.0],[520.0],0.841897233,0.148221344,0.009881423,0.807692308,0.182692308,0.009615385
A relative or friend who is an OFW (overseas Filipino worker),c8g1,6.540796997,-,2,[508.0],[518.0],0.816929134,0.171259843,0.011811024,0.752895753,0.235521236,0.011583012
Someone else,c8h,2.924350267,-,2,[511.0],[523.0],0.872798434,0.115459883,0.011741683,0.843212237,0.149139579,0.007648184
My mother or father (or step/foster mother or father),c9a,5.889853402,-,2,[388.0],[333.0],0.840206186,0.141752577,0.018041237,0.774774775,0.21021021,0.015015015
My brother or sister (or step/foster/half siblings),c9b,3.953638522,-,2,[386.0],[333.0],0.777202073,0.199481865,0.023316062,0.747747748,0.243243243,0.009009009
A friend around my age,c9c,,,2,[393.0],[341.0],0.625954198,0.361323155,0.012722646,0.589442815,0.401759531,0.008797654
A teacher,c9d,2.650027224,-,2,[385.0],[334.0],0.877922078,0.101298701,0.020779221,0.838323353,0.140718563,0.020958084
Another adult I trust,c9e,1.659329218,-,2,[391.0],[334.0],0.820971867,0.163682864,0.015345269,0.784431138,0.200598802,0.01497006
Someone I first met on the internet; but who is friends or family of other people I know in person,c9f,2.635277355,-,2,[387.0],[339.0],0.816537468,0.167958656,0.015503876,0.769911504,0.215339233,0.014749263
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c9g,0.230697713,-,2,[385.0],[336.0],0.825974026,0.161038961,0.012987013,0.8125,0.172619048,0.014880952
A relative or friend who is an OFW (overseas Filipino worker),c9g1,0.327912837,-,2,[384.0],[330.0],0.875,0.109375,0.015625,0.860606061,0.121212121,0.018181818
Someone else,c9h,1.086080306,-,2,[386.0],[333.0],0.810880829,0.170984456,0.018134715,0.792792793,0.195195195,0.012012012
Making presentations,c10a,3.330325673,-,2,[611.0],[594.0],0.725040917,0.263502455,0.011456628,0.681818182,0.30976431,0.008417508
Writing things,c10b,6.280408752,-,2,[611.0],[599.0],0.733224223,0.258592471,0.008183306,0.667779633,0.323873122,0.008347245
Making pictures,c10c,,,2,[608.0],[601.0],0.664473684,0.330592105,0.004934211,0.557404326,0.437603993,0.004991681
Practising something I am learning (e.g. maths or a language or music),c10d,0.758378267,-,2,[614.0],[603.0],0.625407166,0.366449511,0.008143322,0.60199005,0.388059701,0.009950249
Checking out information on the school website,c10e,,,2,[605.0],[597.0],0.776859504,0.21322314,0.009917355,0.686767169,0.308207705,0.005025126
Doing group work with other students,c10f,3.159704766,-,2,[615.0],[602.0],0.648780488,0.343089431,0.008130081,0.599667774,0.392026578,0.008305648
Chatting online at school,c10g,0.222527131,-,2,[612.0],[600.0],0.72875817,0.263071895,0.008169935,0.716666667,0.275,0.008333333
Communicating with teachers (e.g. submitting homework or asking a question),c10h,,,2,[613.0],[599.0],0.815660685,0.176182708,0.008156607,0.777963272,0.217028381,0.005008347
Contributing to a school blog or online discussion,c10i,3.088123095,-,2,[596.0],[585.0],0.877516779,0.109060403,0.013422819,0.847863248,0.141880342,0.01025641
I know how to save a photo that I find online,e1a,24.05071414,-,2,[623.0],[615.0],0.195826645,0.789727127,0.014446228,0.104065041,0.891056911,0.004878049
I know how to change my privacy settings (e.g. on a social networking site),e1b,40.70476413,-,2,[520.0],[535.0],0.455769231,0.534615385,0.009615385,0.26728972,0.721495327,0.011214953
I know how to use a programming language (e.g. HTML; XML; etc.),e1c,22.22426491,-,2,[592.0],[598.0],0.728040541,0.258445946,0.013513514,0.602006689,0.367892977,0.030100334
I know how to jailbreak; crack games and apps; change IP address,e1f1,4.62551029,-,2,[587.0],[598.0],0.749574106,0.235093697,0.015332198,0.705685619,0.264214047,0.030100334
I know how to hide my IP address,e1f2,16.26868303,-,2,[598.0],[599.0],0.765886288,0.219063545,0.015050167,0.662771285,0.307178631,0.030050083
I know how to set network settings (LAN; wi-fi; device-connection),e1f3,17.92499386,-,2,[595.0],[601.0],0.554621849,0.440336134,0.005042017,0.450915141,0.525790349,0.023294509
I know how to hack certain files,e1f4,7.162949678,-,2,[595.0],[603.0],0.813445378,0.176470588,0.010084034,0.772802653,0.1973466,0.029850746
I know how to set the firewall,e1f5,6.60974673,-,2,[589.0],[596.0],0.823429542,0.162988115,0.013582343,0.780201342,0.186241611,0.033557047
I find it easy to find a website I have visited before,e1i,15.33583749,-,2,[606.0],[595.0],0.438943894,0.547854785,0.01320132,0.329411765,0.65210084,0.018487395
I find it easy to check if the information I find online is true,e1g,21.51970095,-,2,[607.0],[600.0],0.448105437,0.538714992,0.013179572,0.318333333,0.666666667,0.015
I find it easy to choose the best keywords for online searches,e1h,,,2,[606.0],[597.0],0.498349835,0.49339934,0.008250825,0.343383585,0.649916248,0.006700168
Sometimes I end up on websites without knowing how I got there,e1k,7.860000432,-,2,[606.0],[596.0],0.48679868,0.498349835,0.014851485,0.407718121,0.57885906,0.013422819
I know how to use incognito in browsing,e1k1,5.534811073,-,2,[593.0],[584.0],0.753794266,0.224283305,0.021922428,0.695205479,0.270547945,0.034246575
I know which information I should and shouldn't share online,e1l,,,2,[517.0],[536.0],0.20696325,0.783365571,0.00967118,0.145522388,0.847014925,0.007462687
I know how to remove people from my contact lists,e1m,,,2,[527.0],[538.0],0.127134725,0.863377609,0.009487666,0.07063197,0.925650558,0.003717472
I know how to block,e1m1,,,2,[525.0],[539.0],0.236190476,0.758095238,0.005714286,0.12244898,0.871985158,0.005565863
I know when I should and shouldn't share information online,e1n,,,2,[519.0],[537.0],0.198458574,0.793834297,0.007707129,0.094972067,0.901303538,0.003724395
I know how to behave according to the situation online,e1o,,,2,[520.0],[538.0],0.161538462,0.828846154,0.009615385,0.07063197,0.923791822,0.005576208
I know how to change who I share content with (e.g. friends; friends of friends or everyone),e1p,,,2,[517.0],[529.0],0.413926499,0.576402321,0.00967118,0.245746692,0.746691871,0.007561437
I know how to report abusive posts or things that I find offending in social media (e.g. Facebook report abuse),e1p1,23.58592421,-,2,[510.0],[527.0],0.537254902,0.447058824,0.015686275,0.390891841,0.59772296,0.011385199
I know how to create something new from video or music that I found online,e1t,10.72913315,-,2,[601.0],[590.0],0.643926789,0.34109817,0.014975042,0.550847458,0.430508475,0.018644068
I know how to post online video or music that I have created myself,e1q,,,2,[215.0],[204.0],0.269767442,0.71627907,0.013953488,0.196078431,0.789215686,0.014705882
I know which different types of licences apply to online content,e1s,17.75975107,-,2,[580.0],[582.0],0.706896552,0.281034483,0.012068966,0.597938144,0.369415808,0.032646048
I know how to edit or make basic changes to online content that others have created,e1r,12.28473622,-,2,[588.0],[586.0],0.634353741,0.357142857,0.008503401,0.542662116,0.435153584,0.0221843
I know how to design a website,e1u,6.621124129,-,2,[579.0],[591.0],0.747841105,0.236614853,0.015544041,0.685279188,0.285956007,0.028764805
I know how to install apps on a mobile device (e.g. phone or tablet),e1v,,,2,[602.0],[602.0],0.194352159,0.800664452,0.004983389,0.127906977,0.865448505,0.006644518
I know how to safeguard my online expenses while using mobile apps,e1w,28.52274703,-,2,[580.0],[592.0],0.448275862,0.539655172,0.012068966,0.298986486,0.679054054,0.021959459
I know how to make an in-app purchase,e1x,6.494719448,-,2,[579.0],[586.0],0.649395509,0.33851468,0.01208981,0.581911263,0.395904437,0.0221843
I know how to download and carck to full version some paid apps without paying a fee (e.g. torrent; etc.),e1x1,15.79358229,-,2,[574.0],[583.0],0.726480836,0.261324042,0.012195122,0.622641509,0.348198971,0.02915952
Deactivate the function showing my geographical position (on Facebook; Google Maps; etc.),e3a,12.34610369,-,2,[471.0],[523.0],0.619957537,0.352441614,0.027600849,0.514340344,0.435946463,0.049713193
Connect to a Wi-Fi network,e3b,12.18613309,-,2,[487.0],[540.0],0.176591376,0.811088296,0.012320329,0.101851852,0.887037037,0.011111111
Block push notifications from different apps,e3c,10.6246896,-,2,[470.0],[520.0],0.610638298,0.372340426,0.017021277,0.507692308,0.469230769,0.023076923
Have the same documents; contacts or apps on all devices that I use (e.g. smartphone; tablet; PC),e3d,20.56112783,-,2,[461.0],[515.0],0.672451193,0.30802603,0.019522777,0.539805825,0.409708738,0.050485437
Block pop ups which promote apps; games or services I have to pay for (unrequested windows that appear during web surfing),e3e,12.05511666,-,2,[455.0],[509.0],0.758241758,0.224175824,0.017582418,0.664047151,0.294695481,0.041257367
Protect a smartphone with a PIN/with a screen pattern,e3f,7.261795754,-,2,[483.0],[535.0],0.163561077,0.82194617,0.014492754,0.108411215,0.869158879,0.022429907
Update my status on the social networking site I use the most,e3g,30.98084993,-,2,[478.0],[527.0],0.351464435,0.631799163,0.016736402,0.19544592,0.783681214,0.020872865
Find information on how to use smartphones safely,e3h,17.83798026,-,2,[471.0],[522.0],0.426751592,0.564755839,0.008492569,0.319923372,0.64559387,0.034482759
Compare similar apps to choose the one that is most reliable,e3i,23.35201382,-,2,[472.0],[521.0],0.476694915,0.502118644,0.021186441,0.328214971,0.635316699,0.03646833
Take a picture or a video with my smartphone and post it onto social media,e3j,5.132748648,-,2,[469.0],[523.0],0.39445629,0.584221748,0.021321962,0.326959847,0.653919694,0.019120459
Twitter,d1d,9.628201916,-,1,[607.0],[601.0],0.878088962,0.121911038,0,0.813643927,0.186356073,0
Viber,d1e,0.192001084,+,1,[605.0],[600.0],0.961983471,0.038016529,0,0.966666667,0.033333333,0
Skype,d1f,0.135607174,-,1,[605.0],[600.0],0.927272727,0.072727273,0,0.921666667,0.078333333,0
Facebook,d1a,14.16776576,-,1,[609.0],[602.0],0.073891626,0.926108374,0,0.026578073,0.973421927,0
Instagram,d1c,12.38010211,-,1,[605.0],[599.0],0.836363636,0.163636364,0,0.754590985,0.245409015,0
WhatsApp,d1b,1.815935749,-,1,[605.0],[598.0],0.981818182,0.018181818,0,0.969899666,0.030100334,0
YouTube,d1g,0.41787708,-,1,[608.0],[601.0],0.425986842,0.574013158,0,0.40765391,0.59234609,0
Spotify,d1h,3.874605407,-,1,[605.0],[598.0],0.943801653,0.056198347,0,0.914715719,0.085284281,0
Wikipedia,d1i,20.03215755,-,1,[605.0],[600.0],0.894214876,0.105785124,0,0.801666667,0.198333333,0
Tumblr,d1j,3.391033142,-,1,[605.0],[598.0],0.99338843,0.00661157,0,0.981605351,0.018394649,0
