Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
I have sold an item online,c4hh2,0.2232299624601993,-,1
My mother or father (or step/foster mother or father),c6a,7.3137911541789915,-,1
My brother or sister (or step/foster/half siblings),c6b,16.976523129638466,-,1
A friend around my age,c6c,45.341644511253214,-,1
A teacher,c6d,9.7314630331271985,-,1
Another adult I trust,c6e,7.9754998357934745,-,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c6f,10.993800311008362,-,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c6g,9.0420592935985518,-,1
A relative or friend who is an OFW (overseas Filipino worker),c6g1,8.6293957373914481,-,1
Someone else,c6h,6.9450971370262433,-,1
My mother or father (or step/foster mother or father),c7a,6.8080825765409063,-,1
My brother or sister (or step/foster/half siblings),c7b,25.055236982834977,-,1
A friend around my age,c7c,64.010476901797745,-,1
A teacher,c7d,4.0004273226117091,-,1
Another adult I trust,c7e,14.255153168592647,-,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c7f,11.889034752676528,-,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c7g,8.4550278239701822,-,1
A relative or friend who is an OFW (overseas Filipino worker),c7g1,12.165154215052659,-,1
Someone else,c7h,7.4788408275449934,-,1
My mother or father (or step/foster mother or father),c8a,2.7272137008550974,-,1
My brother or sister (or step/foster/half siblings),c8b,6.9811422078506737,-,1
A friend around my age,c8c,34.298322867230851,-,1
A teacher,c8d,3.7149791662599552,-,1
Another adult I trust,c8e,7.0290543586680423,-,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c8f,6.655514472333234,-,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c8g,10.312580694017665,-,1
A relative or friend who is an OFW (overseas Filipino worker),c8g1,3.9347210922579259,-,1
Someone else,c8h,5.5850684364279619,-,1
My mother or father (or step/foster mother or father),c9a,0.76880595851410261,-,1
My brother or sister (or step/foster/half siblings),c9b,0.86800830826103426,-,1
A friend around my age,c9c,6.5112196316420432,-,1
A teacher,c9d,0.76555193670608512,-,1
Another adult I trust,c9e,3.2945845177121775,-,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c9f,2.4942692916563756,-,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c9g,2.4425709861415865,-,1
A relative or friend who is an OFW (overseas Filipino worker),c9g1,1.1946669916282797,-,1
Someone else,c9h,2.7181555146353302,-,1
Making presentations,c10a,17.403611769198633,-,1
Writing things,c10b,5.7044921510862023,-,1
Making pictures,c10c,17.86158881029105,-,1
Practising something I am learning (e.g. maths or a language or music),c10d,4.5080836554638042,-,1
Checking out information on the school website,c10e,23.366921686784309,-,1
Doing group work with other students,c10f,33.450180800429429,-,1
Chatting online at school,c10g,34.65494395454553,-,1
Communicating with teachers (e.g. submitting homework or asking a question),c10h,21.854545629615821,-,1
Contributing to a school blog or online discussion,c10i,6.2061381021832895,-,1
I know how to save a photo that I find online,e1a,61.031009238550979,-,1
I know how to change my privacy settings (e.g. on a social networking site),e1b,43.185520666654881,-,1
I know how to use a programming language (e.g. HTML; XML; etc.),e1c,23.311921304938082,-,1
I know how to jailbreak; crack games and apps; change IP address,e1f1,0.69941262438489538,-,1
I know how to hide my IP address,e1f2,8.0126004594584295,-,1
I know how to set network settings (LAN; wi-fi; device-connection),e1f3,23.444259124728024,-,1
I know how to hack certain files,e1f4,3.4083301332972855,-,1
I know how to set the firewall,e1f5,5.2949917439524157,-,1
I find it easy to find a website I have visited before,e1i,25.026789521459072,-,1
I find it easy to check if the information I find online is true,e1g,26.402881338574232,-,1
I find it easy to choose the best keywords for online searches,e1h,48.317330386478304,-,1
Sometimes I end up on websites without knowing how I got there,e1k,21.820232357696661,-,1
I know how to use incognito in browsing,e1k1,16.603917294486592,-,1
I know which information I should and shouldn't share online,e1l,28.643223084682884,-,1
I know how to remove people from my contact lists,e1m,34.431082294396361,-,1
I know how to block,e1m1,70.078590268716596,-,1
I know when I should and shouldn't share information online,e1n,36.617232515186892,-,1
I know how to behave according to the situation online,e1o,31.160728516222701,-,1
I know how to change who I share content with (e.g. friends; friends of friends or everyone),e1p,45.111770328099638,-,1
I know how to report abusive posts or things that I find offending in social media (e.g. Facebook report abuse),e1p1,30.638379937154284,-,1
I know how to create something new from video or music that I found online,e1t,8.9062302216502065,-,1
I know how to post online video or music that I have created myself,e1q,5.4345925369483421,-,1
I know which different types of licences apply to online content,e1s,11.640213376476693,-,1
I know how to edit or make basic changes to online content that others have created,e1r,17.253192014608199,-,1
I know how to design a website,e1u,2.9244480032444873,-,1
I know how to install apps on a mobile device (e.g. phone or tablet),e1v,45.227804126886532,-,1
I know how to safeguard my online expenses while using mobile apps,e1w,47.205587853495217,-,1
I know how to make an in-app purchase,e1x,22.201827391920318,-,1
I know how to download and carck to full version some paid apps without paying a fee (e.g. torrent; etc.),e1x1,14.451244139601167,-,1
Deactivate the function showing my geographical position (on Facebook; Google Maps; etc.),e3a,35.257606698361144,-,1
Connect to a Wi-Fi network,e3b,29.694904390180717,-,1
Block push notifications from different apps,e3c,39.267730023962457,-,1
Have the same documents; contacts or apps on all devices that I use (e.g. smartphone; tablet; PC),e3d,28.927822660528928,-,1
Block pop ups which promote apps; games or services I have to pay for (unrequested windows that appear during web surfing),e3e,14.429667589261904,-,1
Protect a smartphone with a PIN/with a screen pattern,e3f,44.838202872419963,-,1
Update my status on the social networking site I use the most,e3g,53.006396007915228,-,1
Find information on how to use smartphones safely,e3h,49.239061338313682,-,1
Compare similar apps to choose the one that is most reliable,e3i,51.745345724273406,-,1
Take a picture or a video with my smartphone and post it onto social media,e3j,16.346234313496279,-,1
Twitter,d1d,13.800641204565462,-,1
Viber,d1e,2.2005857199332275,-,1
Skype,d1f,1.4089843320859043,-,1
Facebook,d1a,35.389127232596685,-,1
Instagram,d1c,16.496931808530455,-,1
WhatsApp,d1b,1.1246390940804551,-,1
YouTube,d1g,0.21074181048397034,+,1
Spotify,d1h,8.2112330943733625,-,1
Wikipedia,d1i,15.464091721987623,-,1
Tumblr,d1j,4.2286824072475175,-,1
I find it easier to be myself online than when I am with people face-to-face,d2d,0.64328772364290199,-,1
I talk about different things online than I do when speaking to people face-to-face,d2e,5.2593841299869464,-,1
I talk about private things online which I do not talk about with people face-to-face,d2f,4.7320687529848842,-,1
I feel safe on the internet,d2a,0.17904349573269637,+,1
I find other people are kind and helpful on the internet,d2b,0.015300090131022751,-,1
I know what to do if someone acts online in a way I don't like,d2c,20.563670784489304,-,1
null,d12,11.665363720043626,+,1
null,d13,0.0012895319823204275,-,1
Facebook/Messenger,d14a,27.641107045974429,,5
Skype,d14b,5.1974389521878761,,5
Viber,d14c,6.8671505549801983,,5
WeChat,d14d,3.4250066268475594,,5
Instagram,d14e,16.219034303651998,,5
Twitter,d14f,20.093000056259989,,5
YouTube/Hangout (Google),d14g,11.715176381246442,,5
Minecraft,d15a,20.332355674177357,+,1
Warcraft DOTA,d15b,0.15784304962805884,-,1
DOTA 2,d15c,3.8218685215982999,-,1
League of Legends,d15d,7.3011445994124529,-,1
Counterstrike,d15e,0.52714665243483183,+,1
Others,d15f,0.036066399027813167,-,1
null,d7a,8.7679032005266286,+,1
null,d7b,1.399815470796606,+,1
null,d7c,1.1454994271295975,+,1
null,d8,0.49181655190356904,-,1
A photo that clearly shows your face,d9a,7.6866559694258658,-,1
Your last name,d9b,4.2634429948960459,-,1
Your address,d9c,14.236903136302857,-,1
Your phone number,d9d,6.7504415647835856,-,1
Your school,d9e,39.53260811057585,-,1
Your correct age,d9f,5.9970327281459346,-,1
An age that is not your real age,d9g,0.041554419931833578,-,1
Places you've dined and visited,d9j,2.8196663834980549,-,1
Pictures showing whole body,d9k,2.8659452053115055,-,1
null,d10,7.1480022152850206e-05,-,1
Looked for new friends or contacts on the internet,f1a,2.5390722981614071,-,1
Sent my personal information (e.g.; my full name; address or phone number) to someone I have never met face-to-face,f1b,2.0155128442260053,-,1
Added people to my friends or contacts I have never met face-to-face,f1c,1.9965386454571243,-,1
Pretended to be a different kind of person online from who I really am,f1d,0.49942196531791971,-,1
Sent a photo or video of myself to someone I have never met face-to-face,f1e,0.21514375845121478,-,1
Post my current location and those I had been to,f1f,3.0098618806500359,-,1
Post my new stuff and clothes,f1g,0.1518189960941109,-,1
Post messages or love quotes that pertain to the boy/girl whom I have a crush on,f1h,7.367997219539081,-,1
Seek to get acquainted or befriend persons who are Non-Filipinos (foreigners),f1i,0.16362948173366326,-,1
Engage in chat activities with a person whom I only met on internet,f1j,4.246794361196601,-,1
Do video calls with a person whom I only met on internet,f1k,0.14481480966790702,+,1
Receive offers or gifts online,f1l,0.095909270025601845,+,1
null,f2,18.637071339498107,-,1
null,f3,1.1962111071885495,-,1
null,f4,0.020579974028906899,-,1
null,f5,0.76754850088183457,+,1
I've met face to face with a person I just got acquainted on internet but is already known by my friends or relatives,f6a,1.2954015734346886,-,1
I've met face to face with a person I just got acquainted on internet and who is totally unknown to anyone I personally know,f6b,1.3614566874779472,-,1
I've met with a foreigner (different nationality),f6c,1.0521404979674784,+,1
I've personally met with an older person,f6d,0.059134589182074884,+,1
I've met face to face with a person I just got acquainted on internet and she/he was accompanied by another girl/boy,f6e,1.2184610398896125,-,1
I've met with another woman like myself whom i just got acquainted with on internet,f6f,1.1551445458566203,-,1
I've met with another man like myself whom i just got acquainted with on internet,f6g,0.96765979118920287,+,1
I've met with LGBT person (lesbian; gay; bisexual; transgender) whom i just got acquainted with on internet,f6h,1.3733057009521021,-,1
null,f8,2.8544688345417661,-,1
null,f11,12.232184175618682,-,1
null,f12,1.7747858017135858,+,1
null,f13,0.010300550285909881,+,1
My mother or father (or step/foster mother or father),f14a,0.18091617969478119,-,1
My brother or sister (orstep/foster/half siblings),f14b,0.069423963326139468,+,1
Cousin,f14j,0.22686386438332456,-,1
Aunt/Uncle,f14k,1.2854314447544191,+,1
Grandfather/Grandmother,f14l,0.63906145961234162,+,1
Nanny,f14m,0.36674597692327376,-,1
A friend around my age,f14c,5.3595241230924398,-,1
Classmate,f14n,0.92768790337237139,-,1
Boyfriend/Girlfriend,f14o,4.745510220971612,-,1
A teacher,f14d,1.9512292644405462,-,1
Someone whose job it is to help children,f14e,0.13146558235623057,-,1
Godfather/Godmother,f14p,3.4953239523019994,+,1
Priest/Pastor/Nun,f14q,0.36674597692327376,-,1
Neighbor,f14r,0.683251310014513,-,1
Another adult I trust,f14f,0.11006152569734964,-,1
Someone else,f14g,0.37071103371658082,-,1
I didn't talk to anyone,f14h,0.27117639287417578,-,1
Prefer not to say,f14i,6.6260707947651627e-06,-,1
null,f15,1.7048928683927924,+,1
I ignored the problem or hoped the problem would go away by itself,f16a,2.9353720937743679,-,1
I closed the window or app,f16b,0.6496127624000364,+,1
I felt a bit guilty about what went wrong,f16c,1.6114541196508405,+,1
I tried to get the other person to leave me alone,f16d,0.039152438433523333,+,1
I tried to get back at the other person,f16e,0.0091321305133652674,+,1
I stopped using the internet for a while,f16f,0.084785870651429063,-,1
I deleted any messages from the other person,f16g,0.061315733446880995,-,1
I changed my privacy/ contact settings,f16h,0.096405032587606229,-,1
I blocked the person from contacting me,f16i,1.57190517179403,-,1
I reported the problem online  (e.g.; clicked on a ‘report abuse’ button; contacted an internet advisor or Internet Service Provider (ISP)),f16j,0.023582974402646534,-,1
Other actions taken,f16k,2.3177347242921011,+,1
null,f18,1.3462965592946639,-,1
null,f19,1.9139463193726227,+,1
null,f20a,7.5912310050299308,+,1
null,f20b,12.262327325875093,-,1
By mobile phone calls,f21a,1.827,+,1
By messages sent to me on my phone (SMS/TEXT or MMS),f21b,0.20556691253951548,-,1
On a social networking site (e.g. Facebook; Twitter etc.),f21c,1.9917582417582429,-,1
On a media sharing platform (YouTube; Instagram; Flickr),f21d,0.0047802197802197469,+,1
By instant messaging (MSN; What’s app; Skype etc.),f21e,0.088568935427574172,+,1
In a chatroom,f21f,0.26472388556220872,-,1
In an online game,f21g,1.3773599033816419,+,1
Some other way,f21h,1.1802042042042042,+,1
Prefer not to say,f21i,0.32318407960199003,-,1
Nasty or hurtful messages were sent to me,f22a,13.965655500810913,-,1
Nasty or hurtful messages were passed around or posted where others could see,f22b,0.21231323220163298,-,1
I was left out or excluded from a group or activity on the internet,f22c,0.027910623418681252,+,1
I was threatened on the internet,f22d,0.0039846285616187095,-,1
Other nasty or hurtful things happened to me on the internet,f22e,0.25155932287917177,-,1
null,f23,0.34899808226259799,-,1
null,f24,1.8353504883789045,-,1
null,f25,2.3459167950693374,+,1
null,f26a,1.1029471421547268,+,1
null,f26b,4.0975870574786315,-,1
By mobile phone calls,f27a,4.9391513465322179,+,1
By messages sent by the phone (SMS/Text or MMS),f27b,0.57603795039254457,-,1
On a social networking site (e.g.; Facebook; Twitter),f27c,1.1452574089396188,-,1
By instant messaging (MSN; WhatsApp; Skype etc.),f27d,1.2055660943954527,+,1
On a media sharing platform (YouTube; Instagram; Flickr),f27e,6.7097301232561284,+,1
In a chatroom,f27f,1.8512012442841259,-,1
In an online game,f27g,0.013339192317585586,+,1
Some other way,f27h,0.011939808633733897,-,1
Prefer not to say,f27i,0.18839934727785199,-,1
null,f28,35.214300941018998,-,1
null,f29,6.5382723356041463,-,1
In a magazine or book,f31a,0.082605648441792606,-,1
On television; film,f31b,0.3097970035693286,-,1
Via a mobile phone; computer; tablet or anyother online device,f31c,4.5715067667508231,-,1
On an online video sharing platform (e.g. YouTube; [add local examples]),f32d,0.63332966663198187,+,1
On an online photo sharing platform (e.g. Instagram; Flickr; [add local examples]),f32e,0.34289630514675851,+,1
On a social networking site (e.g. Facebook; Twitter; [add local examples]),f32f,0.023237487153696501,-,1
In a chatroom,f32g,0.88087667849976814,-,1
In an online game,f32h,1.4722775591015156,+,1
On an adult/X-rated website,f32i,1.0198358977303983,-,1
By popups on the internet (unrequested windows that appear during web surfing),f32j,0.010285189089827828,+,1
By instant messaging (MSN; WhatsApp; Skype; [add local examples]),f32k,0.0020319598766310111,-,1
By text (SMS); images (MMS); or otherwise on my mobile phone,f32l,0.00056296700086538875,+,1
By Bluetooth,f32m,0.013737260924193757,+,1
In an advert,f32n,0.008879386310209526,-,1
Prefer not to say,f32o,0.0020319598766310111,-,1
A sexual image or video of someone naked,f33a,0.30971707355479278,+,1
A sexual image or video that shows someone's 'private parts' [translate as appropriate],f33b,0.14958880858083165,+,1
An image or video that shows sexual acts or people having sex,f33c,0.0042221188000464722,-,1
An image or video that shows sexual acts in a violent way,f33d,2.3264844700256342,+,1
Something else sexual or embarrassing,f33e,0.00081958603795110631,-,1
null,f34,13.229778771671242,-,1
null,f35,3.549079527259126,-,1
By mobile phone calls,f37a,0.98889632107023384,+,1
By text messages sent to me on my phone (SMS/text or MMS),f37b,1.4515066857033043,+,1
On a social networking site (e.g.; Facebook; Twitter etc.),f37c,0.78518414787844926,-,1
On a media sharing platform (YouTube; Instagram; Flickr),f37d,0.96620508396898142,+,1
By IM (MSN; WhatsApp; Skype; etc.),f37e,2.9409647223288196,+,1
In a chatroom (video chat),f37f,0.64535279329001327,+,1
In an online game,f37g,5.6571428571428575,+,1
In a gaming community (also on the Xbox and other game consoles),f37h,7.3655955480919575,+,1
By 'pop up' (something appears by accident),f37i,2.92354944367559,+,1
null,f38,0.31944382261348103,-,1
null,f39,2.1160153210844457,+,1
I have sent someone a sexual message (e.g.; words; pictures or video) on the internet,f40a,1.1793513789581209,-,1
I have posted a sexual message (e.g.; words; pictures or video) where other people could see it on the internet,f40b,0.0047242083758937906,-,1
I have asked someone on the internet for sexual information about him or herself (like what his or her body looks like without clothes on or sexual things he or she has done),f40c,0.099158653846153841,+,1
Ways of physically harming or hurting themselves,f41a,5.3406559672317773,-,1
Ways of committing suicide,f41b,0.46666666666666667,-,1
Ways to be very thin (such as being anorexic or bulimic),f41c,12.527509931771478,-,1
Hate messages that attack certain groups or individuals (e.g.; people of different colour or religion or nationality),f41d,9.2693614958189876,-,1
Their experiences of taking drugs,f41e,6.7374585550149853,-,1
Gory or violent images,f41f,11.709634125631053,-,1
Ways of courtship,f41g,50.657305820300138,-,1
Ways how to find a relationship,f41h,6.1384340891232565,-,1
Ways to join in gambling,f41i,0.18026215256177339,+,1
null,f41j,,-,1
null,f41k,,-,1
About cheating,f41l,8.3380794269432439,-,1
null,f41m,0.63,+,1
About drinking alcohol,f41n,3.4270188439922116,-,1
About smoking,f41o,1.7331686885263717,-,1
About bullying,f41p,20.563882023165927,-,1
Somebody used my personal information in a way I didn't like,f43a,6.0009533113780575,-,1
The device (e.g.; phone; tablet; computer) I use got a virus or spyware,f43b,5.3531850890177308,-,1
I lost money by being cheated on the internet,f43c,0.6838973671424311,+,1
Somebody used my password to access my information or to pretend to be me,f43d,2.2142649876244951,-,1
Somebody created a page or image about me that was hostile or hurtful,f43e,0.32031071817973211,-,1
I spent too much money on online games or in-app purchases,f43f,2.3896003151910818,-,1
I was asked to make an in-app purchase when playing an online game (e.g.; to do well in the game),f43g,4.3903356785847372,-,1
Someone found out where I was because they tracked my phone or device,f43h,0.33136536402818584,-,1
I have gone without eating or sleeping because of the time I spent on the internet,f45a,16.080323676785266,-,1
I have experienced conflicts with family or friends because of the time I spent on the internet,f45b,6.8437516448730351,-,1
My grades have dropped because of the time I spent on the internet,f45c,4.401183869031323,-,1
I have tried unsuccessfully to spend less time on the internet,f45d,11.227680982678045,-,1
I think the amount of time I spend on the internet causes problems for me,f45e,18.752517891720263,-,1
null,f45f,48.282792455767606,-,1
null,h1,0.34842600408847324,+,1
Your mother or father (including step/foster mother or father),h2a,10.408836385696107,+,1
Your brother or sister (including step siblings),h2b,0.027101703146232378,-,1
Cousin,h2i,6.5616551556073803,-,1
Aunt/Uncle,h2j,2.1963053025583084,+,1
Grandfather/Grandmother,h2k,1.3895701091558519,+,1
A friend around my age,h2c,36.558500767554023,-,1
Boyfriend/Girlfriend,h2l,12.093970864622397,-,1
A teacher,h2d,0.60735811220251601,-,1
Classmate,h2m,11.832003418825122,-,1
Someone whose job it is to help children [give examples if needed],h2e,0.88708196581412158,-,1
Nanny,h2n,0.40315642756117032,+,1
Godfather/Godmother,h2o,0.5932049149131009,+,1
Priest/Pastor/Nun,h2p,1.6070383418552232,-,1
Neighbor,h2q,0.097903157905886426,-,1
Another adult you trust,h2f,11.58192000015341,-,1
Someone else,h2g,0.60155178570238466,-,1
No one,h2h,0.0014574147614555728,-,1
null,i1,6.6436414753682502,-,1
When I speak someone listens to what I say,i2a,0.54218598759371284,-,1
My family really tries to help me,i2b,1.3573443680742101,-,1
I feel safe at home,i2c,3.2937887916690642,-,1
My parent(s)/carer(s) sets rules about what I can do at home,i3b,2.2497632413013591,-,1
My parent(s)/carer(s) sets rules about what I can do outside the home,i3c,1.1271302278497521,-,1
My parent(s)/carer(s) tells me when I am doing something well,i3d,0.80872819885978176,-,1
My parent(s)/carer(s) praises me for behaving well,i3a,0.35171444275325559,-,1
Encourages me to explore and learn things on the internet,i4a,0.92692777618396671,-,1
Suggests ways to use the internet safely,i4b,5.5296056737300043,-,1
Talks to me about what I do on the internet,i4c,3.128533564131541,-,1
Sits with me while I use the internet,i4d,1.3234912036578246,-,1
Stays nearby when I use the internet,i4e,0.56079742106821895,-,1
Does shared activities together with me on the internet,i4f,0.32999400048900984,-,1
Talks to me about what to do if something online bothers or upsets me,i4g,6.1272599990739813,-,1
Helps me when something is difficult to do or find on the internet,i4h,2.6083886616914338,-,1
Explains why some websites are appropriate or inappropriate,i4i,2.1997079334793268,-,1
Helps me when something bothers me on the internet,i4j,2.997511144932286,-,1
Talks to me about the commercial activities I am exposed to online,i4k,0.11617301112021534,-,1
Told my parent/carer about things that bother or upset me on the internet,i5a,1.8661741600266477,-,1
Helped my parent/carer to do something they found difficult on the internet,i5b,9.1843567438013398,-,1
Started a discussion with my parent/carer about what I do on the internet,i5c,0.71616148847437078,-,1
Asked for my parent's/carer's advice on how I should act online,i5d,0.13566113801016222,+,1
Asked my parent/carer for something that I have seen advertised online,i5e,0.057906745075355898,-,1
Ask for your parent's/carer's help with a situation on the internet that I could not handle,i5f,0.68047534712964042,+,1
Use a web or phone camera (e.g.; for Skype or video chat),i6a,8.1573401626192776,+,1
Download music or films,i6b,17.512464634623289,+,1
Visit a social networking site (e.g.; Facebook; [insert local terms]),i6c,17.944092882771113,+,1
Watch video clips (e.g.; on YouTube),i6d,0.45453275323410103,+,1
Play games with other people online,i6e,0.59193499389588533,-,1
Visit a chat room,i6f,12.382883265064839,+,1
Use instant messaging,i6g,17.834898812771151,+,1
Read/watch news online,i6h,7.9250202479026761,+,1
Use the internet for school work,i6i,8.9959291075604444,+,1
Spend time in a virtual world (e.g.; Habbo; Club Penguin; Minecraft [add examples as needed]),i6j,0.23903743202053784,-,1
Put (or post) photos; videos or music online to share with others (including social networking or instant messaging),i6k,19.621017441676091,+,1
null,i7a,4.0706007914601638,-,1
null,i7b,2.2714115025309649,-,1
null,i7c,0.71589134775496255,-,1
null,i7d,4.4570568028250426,-,1
null,i7e,12.351896000745755,-,1
null,i7f,13.649405972146191,-,1
null,i7g,5.3157367091192711,-,1
null,i7h,24.086403675243652,-,1
null,i7i,3.025148468286142,-,1
null,i8a,0.016986382724498466,-,1
null,i8b,1.2043508132436243,-,1
null,i8c,1.9855239918148773,-,1
null,i8d,0.66448277958439128,-,1
null,i8e,0.37052088728894317,+,1
null,i8f,0.061177165054109868,-,1
null,j1,0.036421413174844819,-,1
Suggested ways to use the internet safely,j5a,19.628395645245885,-,1
Encouraged me to explore and learn things on the internet,j5b,12.079536160932573,-,1
Made rules about what I can do on the internet at school,j5c,10.661744864985296,-,1
Helped me when I found something difficult to do or find on the internet,j5d,8.9251084574147068,-,1
Talked to me about what I do on the internet,j5e,5.2822066789177802,-,1
Explained why some websites are good or bad,j5f,12.505316091172109,-,1
Suggested ways to behave towards other people online,j5g,20.936608733336172,-,1
